remark,"CSV-Import-Export"
remark,"Date = Sat Sep  6 14:09:11 2025"
remark,"Version = RSLogix 5000 v37.01"
remark,"Owner = "
remark,"Company = "
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
ALIAS,,inTraversePot,"","","Local:3:I.Ch0Data","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {0ED68D47-1F63-40A5-A1CA-B9DEA14FA815})"
ALIAS,,outLaserLine,"","","Local:8:O.Data.0","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {CDB559FF-86E2-43F3-9858-737996C443AF})"
ALIAS,,outMS1Hydraulic,"","","Local:6:O.Data.0","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {0280884E-BA40-4C23-AADC-FB094EDF7EC4})"
ALIAS,,outMS2KidneyLoop,"","","Local:6:O.Data.1","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {0755783A-2CC1-4729-977C-A9503E4CBADA})"
ALIAS,,outMS3HydraulicCooling,"","","Local:6:O.Data.2","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {53FE209C-3916-4A97-A846-EC7932A0CD8E})"
ALIAS,,outMS4Coolant,"","","Local:6:O.Data.3","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {770CE8DE-83E0-4425-8A91-5B8A181756C8})"
ALIAS,,outMS5SwarfPump,"","","Local:7:O.Data.0","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {F36F72CE-E76B-42C8-A833-6F2DB4D4A3EE})"
ALIAS,,outMS6SwarfConveyor,"","","Local:7:O.Data.1","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {B802DFF0-7E97-4CD1-847B-8AC8A87BED5A})"
ALIAS,,outSpindleMotor,"","","Local:5:O.Ch1Data","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {5B2F5758-3E7D-4CE2-BE33-EB1B0D834B9D})"
ALIAS,,outSpindlePump,"","","Local:5:O.Ch0Data","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {9B0FBCFD-F11E-4DA4-89A3-65D6179184CF})"
ALIAS,,outStackLtAmber,"","","Local:8:O.Data.2","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {E51133B5-9BCA-4CBD-BF3C-59969E1ECD50})"
ALIAS,,outStackLtGreen,"","","Local:8:O.Data.1","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {528B4842-0B1E-4675-9C0C-B651F10035BE})"
ALIAS,,outStackLtRed,"","","Local:8:O.Data.3","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {B574107E-1C87-4A46-A9C9-F4A175310E23})"
TAG,,RMC_Busy,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,RMC_In,"","RMC_IN","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,RMC_Out,"","RMC_OUT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,RMC_SendRequest,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,tbOnOff,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,test,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,tmrTest,"","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
